File Description,File Path
Target Zero Tips Cards (ZIP),/wp-content/uploads/2024/10/targetzero_tipcards_2023.zip
Spring 2023 - Blueberry and Spinach Smoothie,/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---spring-2023-b-and-s-smoothie.pdf
Spring 2023 - Cheesy Baked Florida Tomatoes,/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---spring-2023-baked-tomatoes.pdf
Spring 2023 - Crisp Florida Vegetable Garden Wraps,/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---spring-2023-garden-wraps.pdf
Spring 2023 - Florida Sweet Pepper and Chicken Street Tacos,/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---spring-2023-street-tacos.pdf
Summer 2023 - Florida Avocado and Mango Salad,/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-avo-mango-salad.pdf
Summer 2023 - Florida Grouper with Citrus Salad,/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-grouper.pdf
Summer 2023 - Florida Shrimp Citrus Sauté,/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-shrimp-saut%C3%A9.pdf
Summer 2023 - Roasted Florida Snapper Street Tacos with Avocado Crema,/wp-content/uploads/2024/10/fl-recipe-for-safety-tip-card---summer-2023-snapper-tacos.pdf
Fall 2023 - Broiled Florida Oysters,/wp-content/uploads/2024/10/tz-tip-card---recipe-card-fall-2023-broiled-florida-oysters-v1.pdf
Fall 2023 - Florida Sweet Corn and Ricotta Fritters,/wp-content/uploads/2024/10/tz-tip-card---recipe-card-fall-2023-fl-corn-ricotta-fritters-v1.pdf
Fall 2023 - Florida Tomato and Sweet Pepper Soup,/wp-content/uploads/2024/10/tz-tip-card---recipe-card-fall-2023-fl-tomato-pepper-soup-v1.pdf
Fall 2023 - Stuffed Florida Zucchini and Yellow Squash Parmesan,/wp-content/uploads/2024/10/tz-tip-card---recipe-card-fall-2023-fl-zucchini-squash-parm-v1.pdf
Winter 2023 - Florida Strawberry Stuffed French Toast,/wp-content/uploads/2024/10/tz-tip-card---recipe-card-winter-2023-strawberry-french-toast-v1.pdf
Winter 2023 - Florida Mushroom Bisque,/wp-content/uploads/2024/10/tz-tip-card---recipe-card-winter-2023-mushroom-bisque-v1.pdf
Winter 2023 - Florida Strawberry and Citrus Shortcake,/wp-content/uploads/2024/10/tz-tip-card---recipe-card-winter-2023-strawberry-shortcake-v1.pdf
"Winter 2023 - Florida Escarole, Tomato, and White Bean Soup",/wp-content/uploads/2024/10/tz-tip-card---recipe-card-winter-2023-white-bean-soup-v1.pdf
Speeding (5x7),/wp-content/uploads/2024/10/tz-behavior-change-banners-speeding-5x7.pdf
Target Zero Speeding Thumbnail (300x250),/wp-content/uploads/2024/10/fdot_tz_speeding_media-buy_300x250_.jpg
Target Zero Speeding Thumbnail (640x640),/wp-content/uploads/2024/10/fdot_tz_speeding_media-buy_640x640_.jpg
Target Zero Speeding Audio (15 seconds),/wp-content/uploads/2024/10/fdot_tz_speeding_15_audio.mp3
Target Zero Speeding Audio (30 seconds),/wp-content/uploads/2024/10/fdot_tz_speeding_30_audio.mp3
Target Zero Speeding Video (15 seconds),/wp-content/uploads/2024/10/fdot_tz_speeding_15s.mp4
Target Zero Speeding Video (30 seconds),/wp-content/uploads/2024/10/fdot_tz_speeding_30.mp4
Aggressive Driving (5x7),/wp-content/uploads/2024/10/tz-behavior-change-banners-aggressive-5x7.pdf
Target Zero Aggressive Driving Thumbnail (300x250),/wp-content/uploads/2024/10/fdot_tz_aggressive_300x250_pandora-soundcloud.jpg
Target Zero Aggressive Driving Thumbnail (640x640),/wp-content/uploads/2024/10/fdot_tz_aggressive_640x640_spotify.jpg
Target Zero Aggressive Driving Audio (15 seconds),/wp-content/uploads/2024/10/fdot_tz_aggressive_radio_15s_audio.mp3
Target Zero Aggressive Driving Audio (30 seconds),/wp-content/uploads/2024/10/fdot_tz_aggressive_radio_30s_audio.mp3
Target Zero Aggressive Driving Video (15 seconds),/wp-content/uploads/2024/10/fdot_tz_aggressive_15s.mp4
Target Zero Aggressive Driving Video (30 seconds),/wp-content/uploads/2024/10/fdot_tz_aggressive_30s.mp4
Speeding and Aggressive Campaign Driving Video (30 seconds),/wp-content/uploads/2024/10/speeding_aggressive_distracted_samsung_vizio_youtube_30.mp4
Distracted Driving (5x7),/wp-content/uploads/2024/10/tz-behavior-change-banners-distracted-5x7.pdf
Target Zero Distracted Driving Thumbnail (300x250),/wp-content/uploads/2024/10/fdot_tz_distracted_media-buy_300x250.jpg
Target Zero Distracted Driving Thumbnail (640x640),/wp-content/uploads/2024/10/fdot_tz_distracted_media-buy_640x640.jpg
Target Zero Distracted Driving Audio (15 seconds),/wp-content/uploads/2024/10/10162022_radio_distraction_mediabuy_radio_15s.mp3
Target Zero Distracted Driving Audio (30 seconds),/wp-content/uploads/2024/10/10162022_radio_distraction_mediabuy_radio_30s_mixdown.mp3
Target Zero Distracted Driving Video (15 seconds),/wp-content/uploads/2024/10/fdot_distraction_mediabuy_15s.mp4
Target Zero Distracted Driving Video (30 seconds),/wp-content/uploads/2024/10/fdot_distraction_mediabuy_30s.mp4
Distracted Driving Campaign Video (30 seconds),/wp-content/uploads/2024/10/multitasking_distraction_samsung_vizio_youtube_30.mp4
Seatbelt Safety Campaign Video (30 seconds),/wp-content/uploads/2024/10/seatbelts_samsung_vizio_youtube_30.mp4
